web-scraper-order,web-scraper-start-url,paginator,brand-name
"1647964234-61","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=3","Hunter Paper Co."
"1647964253-141","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=7","BETTIE CONFETTI"
"1647964248-120","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=6","Stormy Knight"
"1647964230-38","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=2","The Printed Peanut"
"1647964265-178","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=10","Alison Hardcastle"
"1647964244-104","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=5","Esoteric London Jewellery"
"1647964226-3","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","","Lomond Paper Co"
"1647964244-109","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=5","DOODLE MOO LTD"
"1647964257-160","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=8","Leather Guild"
"1647964230-42","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=2","Solid Cologne UK"
"1647964253-148","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=7","The Recycled Candle Company"
"1647964248-119","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=6","Sarah Dunbar Design"
"1647964244-92","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=5","Grace Souky"
"1647964234-48","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=3","Lund London"
"1647964244-102","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=5","REEVES & REEVES"
"1647964265-171","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=10","A Little Trinket"
"1647964238-85","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=4","The Crafty Kit Company"
"1647964238-86","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=4","Cheeky Chops Cards & Wanky Candles"
"1647964234-46","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=3","Catherine Tough"
"1647964238-71","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=4","Goldie London"
"1647964230-43","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=2","Angela Chick"
"1647964226-22","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","","Moccis"
"1647964248-123","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=6","Created By The Ridleys"
"1647964226-8","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","","St.ozzy london"
"1647964244-93","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=5","Saskia & Rose London"
"1647964257-156","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=8","Pairfum London"
"1647964238-87","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=4","Popaball"
"1647964257-158","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=8","Merryfield Pottery"
