,Unnamed: 0,websites,Unnamed: 0,handles,Unnamed: 0,followers,Unnamed: 0,crm
189,189,linktr.ee/stook.miannedevries,189,@stook.miannedevries,189,"3,417 followers",189,S
190,190,error loading websitis,190,@1045,190,173 followers,190,website could not be loaded
191,191,error loading websitis,191,@www.instagram.com,191,error loading followers,191,website could not be loaded
192,192,www.thehighfivecompany.com,192,@thehighfivecompany,192,"3,292 followers",192,W
193,193,error loading websitis,193,@combekk_homeware,193,error loading followers,193,website could not be loaded
194,194,tipodesign.nl,194,@tipo.design,194,"1,115 followers",194,W
195,195,www.juffrouwpannenkoekdeco.nl,195,@juffrouwpannenkoekdeco,195,"3,457 followers",195,W
196,196,www.dramanerds.nl,196,@drama_nerds_,196,216 followers,196,U
197,197,www.beladonaco.nl,197,@BelaDonaco,197,"5,362 followers",197,W
198,198,lmbabyart.nl,198,@lmbabyart.nl,198,"1,352 followers",198,S
199,199,error loading websitis,199,@www.instagram.com,199,error loading followers,199,website could not be loaded
200,200,www.saintclairmont.com,200,@Saintclairmont,200,12.1k followers,200,W
201,201,error loading websitis,201,@www.instagram.com,201,error loading followers,201,website could not be loaded
202,202,www.tessaswinkels.com,202,@tessaswinkels.bags,202,"1,304 followers",202,S
203,203,fairytabs.com,203,@Fairytabs,203,"4,870 followers",203,S
204,204,kanwall.nl,204,@kanwall.nl,204,"4,125 followers",204,S
205,205,www.funkydoris.no/shop,205,@funkydoris_,205,"4,660 followers",205,website could not be loaded
206,206,error loading websitis,206,no handle found,206,error loading followers,206,website could not be loaded
207,207,error loading websitis,207,no handle found,207,error loading followers,207,website could not be loaded
208,208,stalwartcrafts.com,208,@stalwartcrafts,208,14.2k followers,208,U
209,209,www.aromaclub.com,209,@aroma.club,209,"9,436 followers",209,S
210,210,linktr.ee/buzzispace,210,@BuzziSpace,210,25.4k followers,210,S
211,211,annamariamusch.com,211,@annamariamusch,211,311 followers,211,W
212,212,linktr.ee/Realgoodfood,212,@realgoodfoodnl,212,"1,865 followers",212,S
213,213,floralkings.nl,213,@floralkings,213,60 followers,213,W
214,214,www.tedandtone.com,214,@tedandtone,214,"5,151 followers",214,W
215,215,www.liefsjansje.nl,215,@liefs.jansje,215,968 followers,215,W
216,216,befold.nl,216,@befold.design,216,82 followers,216,W
217,217,www.1915watches.com/insta-links,217,@1915watches,217,"6,017 followers",217,W
218,218,error loading websitis,218,@estahome.co.uk,218,error loading followers,218,website could not be loaded
219,219,error loading websitis,219,@pinghe_art,219,error loading followers,219,website could not be loaded
220,220,www.bijlien.nl,220,@bij_lien,220,"3,728 followers",220,W
221,221,www.taboosieraden.nl,221,@taboosieraden,221,548 followers,221,U
222,222,error loading websitis,222,no handle found,222,error loading followers,222,website could not be loaded
223,223,pinkcloudstudio.be,223,@pinkcloudstudio,223,"2,262 followers",223,S
224,224,www.maxsmints.com/verkooppunten,224,@maxsorganicmints,224,"1,179 followers",224,W
225,225,www.welovetheplanet.nl/nl/we-love-lip-balm,225,@welovetheplanet_official,225,10.4k followers,225,W
226,226,linktr.ee/80NoirUltra,226,@80noir_ultra,226,"3,516 followers",226,S
227,227,www.shakement.com,227,@shakementmeals,227,"1,794 followers",227,S
228,228,error loading websitis,228,@stitchamsterdam.com,228,error loading followers,228,website could not be loaded
229,229,linktr.ee/ByWOOM,229,@by_WOOM,229,744 followers,229,S
230,230,www.slowbeautymoments.com/instagram,230,@slowbeautymoments,230,"4,316 followers",230,U
231,231,www.silke-amsterdam.nl,231,@Silke.Amsterdam,231,344 followers,231,U
232,232,skosh.cc/shop,232,@skosh_official,232,"8,889 followers",232,S
233,233,www.shop-supernovae.com,233,@shop_supernovae,233,465 followers,233,U
234,234,www.tyro-cosmetics.com,234,@tyrocosmeticsofficial,234,111 followers,234,U
235,235,error loading websitis,235,@www.instagram.com,235,error loading followers,235,website could not be loaded
236,236,www.studio-paper.com/studio-paper-link,236,@studiopaper_com,236,"2,344 followers",236,U
237,237,www.teraclay.nl,237,@teraclaynl,237,"3,597 followers",237,S
238,238,error loading websitis,238,@hottotnl,238,error loading followers,238,website could not be loaded
239,239,www.studioemo.nl,239,@studio.emo,239,215 followers,239,W
240,240,www.seasonblend.nl,240,@seasonblend,240,90 followers,240,U
241,241,rebel.care,241,@rebel.care,241,530 followers,241,W
242,242,bit.ly/3ue2yyl,242,@annet_weelink_design,242,16.9k followers,242,S
243,243,www.bazou.nl,243,@by_bazou,243,14.3k followers,243,W
244,244,error loading websitis,244,no handle found,244,error loading followers,244,website could not be loaded
245,245,www.desired-design.nl,245,@desireddesignnl,245,744 followers,245,U
246,246,www.pstrstudio.com,246,@pstr.studio,246,160k followers,246,S
247,247,error loading websitis,247,@www.instagram.com,247,error loading followers,247,website could not be loaded
248,248,www.ilovebaski.com,248,@ilovebaski,248,"4,163 followers",248,U
249,249,error loading websitis,249,no handle found,249,error loading followers,249,website could not be loaded
250,250,kunstboer.com,250,@de_Kunstboer,250,"5,146 followers",250,W
251,251,linktr.ee/theverygoodcandle,251,@theverygoodcandleco,251,"7,739 followers",251,S
